Komoditas (Rp),Tanggal,Harga,Wilayah
Bawang Merah,2020-01-02,31000.0,Bukittinggi
Bawang Merah,2020-01-03,31000.0,Bukittinggi
Bawang Merah,2020-01-06,31000.0,Bukittinggi
Bawang Merah,2020-01-07,31500.0,Bukittinggi
Bawang Merah,2020-01-08,32250.0,Bukittinggi
Bawang Merah,2020-01-09,32250.0,Bukittinggi
Bawang Merah,2020-01-10,33000.0,Bukittinggi
Bawang Merah,2020-01-13,33000.0,Bukittinggi
Bawang Merah,2020-01-14,33000.0,Bukittinggi
Bawang Merah,2020-01-15,33000.0,Bukittinggi
Bawang Merah,2020-01-16,33000.0,Bukittinggi
Bawang Merah,2020-01-17,33000.0,Bukittinggi
Bawang Merah,2020-01-20,33000.0,Bukittinggi
Bawang Merah,2020-01-21,33000.0,Bukittinggi
Bawang Merah,2020-01-22,34250.0,Bukittinggi
Bawang Merah,2020-01-23,34250.0,Bukittinggi
Bawang Merah,2020-01-24,34250.0,Bukittinggi
Bawang Merah,2020-01-27,34250.0,Bukittinggi
Bawang Merah,2020-01-28,34250.0,Bukittinggi
Bawang Merah,2020-01-29,34250.0,Bukittinggi
Bawang Merah,2020-01-30,34250.0,Bukittinggi
Bawang Merah,2020-01-31,34250.0,Bukittinggi
Bawang Merah,2020-02-03,34250.0,Bukittinggi
Bawang Merah,2020-02-04,35000.0,Bukittinggi
Bawang Merah,2020-02-05,35000.0,Bukittinggi
Bawang Merah,2020-02-06,35000.0,Bukittinggi
Bawang Merah,2020-02-07,35000.0,Bukittinggi
Bawang Merah,2020-02-10,35000.0,Bukittinggi
Bawang Merah,2020-02-11,35000.0,Bukittinggi
Bawang Merah,2020-02-12,35000.0,Bukittinggi
Bawang Merah,2020-02-13,35000.0,Bukittinggi
Bawang Merah,2020-02-14,35000.0,Bukittinggi
Bawang Merah,2020-02-17,35000.0,Bukittinggi
Bawang Merah,2020-02-18,35000.0,Bukittinggi
Bawang Merah,2020-02-19,35000.0,Bukittinggi
Bawang Merah,2020-02-20,35000.0,Bukittinggi
Bawang Merah,2020-02-21,35000.0,Bukittinggi
Bawang Merah,2020-02-24,35000.0,Bukittinggi
Bawang Merah,2020-02-25,35000.0,Bukittinggi
Bawang Merah,2020-02-26,33750.0,Bukittinggi
Bawang Merah,2020-02-27,33750.0,Bukittinggi
Bawang Merah,2020-02-28,32250.0,Bukittinggi
Bawang Merah,2020-03-02,32250.0,Bukittinggi
Bawang Merah,2020-03-03,32250.0,Bukittinggi
Bawang Merah,2020-03-04,32500.0,Bukittinggi
Bawang Merah,2020-03-05,32250.0,Bukittinggi
Bawang Merah,2020-03-06,32250.0,Bukittinggi
Bawang Merah,2020-03-09,32250.0,Bukittinggi
Bawang Merah,2020-03-10,32250.0,Bukittinggi
Bawang Merah,2020-03-11,32250.0,Bukittinggi
Bawang Merah,2020-03-12,32250.0,Bukittinggi
Bawang Merah,2020-03-13,31000.0,Bukittinggi
Bawang Merah,2020-03-16,31000.0,Bukittinggi
Bawang Merah,2020-03-17,31000.0,Bukittinggi
Bawang Merah,2020-03-18,31000.0,Bukittinggi
Bawang Merah,2020-03-19,32750.0,Bukittinggi
Bawang Merah,2020-03-20,32250.0,Bukittinggi
Bawang Merah,2020-03-23,31000.0,Bukittinggi
Bawang Merah,2020-03-24,31000.0,Bukittinggi
Bawang Merah,2020-03-25,31000.0,Bukittinggi
Bawang Merah,2020-03-26,31000.0,Bukittinggi
Bawang Merah,2020-03-27,33500.0,Bukittinggi
Bawang Merah,2020-03-30,33500.0,Bukittinggi
Bawang Merah,2020-03-31,36000.0,Bukittinggi
Bawang Merah,2020-04-01,36000.0,Bukittinggi
Bawang Merah,2020-04-02,34750.0,Bukittinggi
Bawang Merah,2020-04-03,34750.0,Bukittinggi
Bawang Merah,2020-04-06,34250.0,Bukittinggi
Bawang Merah,2020-04-07,34250.0,Bukittinggi
Bawang Merah,2020-04-08,34250.0,Bukittinggi
Bawang Merah,2020-04-09,33500.0,Bukittinggi
Bawang Merah,2020-04-10,33500.0,Bukittinggi
Bawang Merah,2020-04-13,33500.0,Bukittinggi
Bawang Merah,2020-04-14,33500.0,Bukittinggi
Bawang Merah,2020-04-15,33500.0,Bukittinggi
Bawang Merah,2020-04-16,33500.0,Bukittinggi
Bawang Merah,2020-04-17,36000.0,Bukittinggi
Bawang Merah,2020-04-20,36000.0,Bukittinggi
Bawang Merah,2020-04-21,36000.0,Bukittinggi
Bawang Merah,2020-04-22,36000.0,Bukittinggi
Bawang Merah,2020-04-23,37250.0,Bukittinggi
Bawang Merah,2020-04-24,37250.0,Bukittinggi
Bawang Merah,2020-04-27,38500.0,Bukittinggi
Bawang Merah,2020-04-28,38500.0,Bukittinggi
Bawang Merah,2020-04-29,38500.0,Bukittinggi
Bawang Merah,2020-04-30,38500.0,Bukittinggi
Bawang Merah,2020-05-01,32000.0,Bukittinggi
Bawang Merah,2020-05-04,42500.0,Bukittinggi
Bawang Merah,2020-05-05,42500.0,Bukittinggi
Bawang Merah,2020-05-06,42500.0,Bukittinggi
Bawang Merah,2020-05-07,,Bukittinggi
Bawang Merah,2020-05-08,45000.0,Bukittinggi
Bawang Merah,2020-05-11,45000.0,Bukittinggi
Bawang Merah,2020-05-12,46250.0,Bukittinggi
Bawang Merah,2020-05-13,46250.0,Bukittinggi
Bawang Merah,2020-05-14,43750.0,Bukittinggi
Bawang Merah,2020-05-15,43750.0,Bukittinggi
Bawang Merah,2020-05-18,44500.0,Bukittinggi
Bawang Merah,2020-05-19,44500.0,Bukittinggi
Bawang Merah,2020-05-20,44500.0,Bukittinggi
Bawang Merah,2020-05-21,49000.0,Bukittinggi
Bawang Merah,2020-05-22,,Bukittinggi
Bawang Merah,2020-05-25,40000.0,Bukittinggi
Bawang Merah,2020-05-26,44500.0,Bukittinggi
Bawang Merah,2020-05-27,44500.0,Bukittinggi
Bawang Merah,2020-05-28,45000.0,Bukittinggi
Bawang Merah,2020-05-29,45000.0,Bukittinggi
Bawang Merah,2020-06-01,,Bukittinggi
Bawang Merah,2020-06-02,47500.0,Bukittinggi
Bawang Merah,2020-06-03,47500.0,Bukittinggi
Bawang Merah,2020-06-04,47500.0,Bukittinggi
Bawang Merah,2020-06-05,47500.0,Bukittinggi
Bawang Merah,2020-06-08,46250.0,Bukittinggi
Bawang Merah,2020-06-09,46250.0,Bukittinggi
Bawang Merah,2020-06-10,45750.0,Bukittinggi
Bawang Merah,2020-06-11,45750.0,Bukittinggi
Bawang Merah,2020-06-12,45750.0,Bukittinggi
Bawang Merah,2020-06-15,42000.0,Bukittinggi
Bawang Merah,2020-06-16,42000.0,Bukittinggi
Bawang Merah,2020-06-17,39000.0,Bukittinggi
Bawang Merah,2020-06-18,38750.0,Bukittinggi
Bawang Merah,2020-06-19,34250.0,Bukittinggi
Bawang Merah,2020-06-22,34250.0,Bukittinggi
Bawang Merah,2020-06-23,34250.0,Bukittinggi
Bawang Merah,2020-06-24,36750.0,Bukittinggi
Bawang Merah,2020-06-25,34250.0,Bukittinggi
Bawang Merah,2020-06-26,35500.0,Bukittinggi
Bawang Merah,2020-06-29,36000.0,Bukittinggi
Bawang Merah,2020-06-30,35500.0,Bukittinggi
Bawang Merah,2020-07-01,31500.0,Bukittinggi
Bawang Merah,2020-07-02,31500.0,Bukittinggi
Bawang Merah,2020-07-03,31000.0,Bukittinggi
Bawang Merah,2020-07-06,31000.0,Bukittinggi
Bawang Merah,2020-07-07,32750.0,Bukittinggi
Bawang Merah,2020-07-08,32750.0,Bukittinggi
Bawang Merah,2020-07-09,31750.0,Bukittinggi
Bawang Merah,2020-07-10,31000.0,Bukittinggi
Bawang Merah,2020-07-13,31000.0,Bukittinggi
Bawang Merah,2020-07-14,30500.0,Bukittinggi
Bawang Merah,2020-07-15,28000.0,Bukittinggi
Bawang Merah,2020-07-16,28000.0,Bukittinggi
Bawang Merah,2020-07-17,28000.0,Bukittinggi
Bawang Merah,2020-07-20,29250.0,Bukittinggi
Bawang Merah,2020-07-21,29250.0,Bukittinggi
Bawang Merah,2020-07-22,29250.0,Bukittinggi
Bawang Merah,2020-07-23,29250.0,Bukittinggi
Bawang Merah,2020-07-24,28750.0,Bukittinggi
Bawang Merah,2020-07-27,28750.0,Bukittinggi
Bawang Merah,2020-07-28,28750.0,Bukittinggi
Bawang Merah,2020-07-29,28750.0,Bukittinggi
Bawang Merah,2020-07-30,28750.0,Bukittinggi
Bawang Merah,2020-07-31,,Bukittinggi
Bawang Merah,2020-08-03,28750.0,Bukittinggi
Bawang Merah,2020-08-04,27750.0,Bukittinggi
Bawang Merah,2020-08-05,27750.0,Bukittinggi
Bawang Merah,2020-08-06,27000.0,Bukittinggi
Bawang Merah,2020-08-07,27000.0,Bukittinggi
Bawang Merah,2020-08-10,28500.0,Bukittinggi
Bawang Merah,2020-08-11,28500.0,Bukittinggi
Bawang Merah,2020-08-12,29000.0,Bukittinggi
Bawang Merah,2020-08-13,29000.0,Bukittinggi
Bawang Merah,2020-08-14,28250.0,Bukittinggi
Bawang Merah,2020-08-17,,Bukittinggi
Bawang Merah,2020-08-18,28250.0,Bukittinggi
Bawang Merah,2020-08-19,28250.0,Bukittinggi
Bawang Merah,2020-08-20,,Bukittinggi
